Item Code,Item Name,Category,Quantity,Confidence,Similarity Score,Original Text
19502,SHER KALA CHANA FLOUR 10X4LB,Grain Market,4.0,low,0.563,of Sher atta (flour)
10501,RED FOOTBALL LENTILS 55LB,Bulk,15.0,medium,0.605,s of whole black lentils
19767,MOONG DAL 12X2LB,Organic,30.0,low,0.526,s of moong dal
15282,DRY MANGO SLICED (CRYSTALLISED) 44LB,Bulk,12.0,low,0.536,cases of mango pulp
21050,TURMERIC POWDER 18X1LB,Organic,30.0,medium,0.749,"s of turmeric powder (in a bag, not packets)"
10498,RED CHILLI POWDER  50/55LB,Bulk,30.0,medium,0.619,"s of red spicy chili powder (in a bag, not packets)"
18509,SWEET BESAN LADDU TRADITIONAL 20X400G,Branded,100.0,low,0.536,"s of besan (please send regular or high-quality besan, not lower-quality)"
15928,GARAM MASALA POWDER PP,Mainpage,30.0,low,0.595,s of garam masala
10106,CUMIN SEED 55LB,Bulk,30.0,medium,0.645,s of cumin seeds
13114,DECCAN SONA MASOORI RICE 40LB,Grain Market,30.0,low,0.480,s of masoor dal
23913,CLOVES 16X3.5OZ,Organic,5.0,medium,0.648,s of cloves
15983,ORGANIC TATTVA BIRYANI BASMATI RICE 4X10LB,Organic,5.0,medium,0.632,of long-grain biryani rice
17203,KASOORI METHI 1KG,Branded,1.0,low,0.492,box of 2 packets of kasoori methi
21706,SHAHI BIRYANI MASALA 10X50G,Branded,24.0,low,0.460,of biryani masala
10100,CORIANDER POWDER PP,Mainpage,30.0,medium,0.776,s of coriander powder
19783,CUMIN POWDER 16X7OZ,Organic,30.0,medium,0.732,s of cumin seed powder
24162,PACHRANGA SOYA CHAAP (FOR CURRY) 12X850G,Branded,1.0,low,0.500,case (12 cans) of pachranga achar
