Item Code,Item Name,Category,Quantity,Confidence,Similarity Score,Original Text
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,150.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,250.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,500.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,50.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,15.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,50.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,50.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,150.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,200.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,200.0,low,0.293,s
XX,XX,Branded,5.0,low,0.359,tr x4 - 1 case
21294,NAVRATAN SILVER BOX 4 PKTS OF 3 TRAYS,Branded,1.0,low,0.415,box
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,2.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,50.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,25.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,25.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,20.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,10.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,20.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,15.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,10.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,10.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,10.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,10.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,20.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,10.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,10.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,10.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,10.0,low,0.293,s
20017,S.S BABY SPOON 6PCS 20/CS,Nonfood,20.0,low,0.293,s
